Name,URL,Description,Count,Last Date
mpangburn / Expressions,https://github.com/mpangburn/Expressions,Arithmetic and logical expressions elegantly modeled and visualized using protocol-oriented binary trees. 🌳,1,2017-12-31
Minecodecraft / MCScratchImageView,https://github.com/Minecodecraft/MCScratchImageView,"A custom ImageView that is used to cover the surface of other view like a scratch card, user can swipe the mulch to see the view below.",1,2017-12-31
Carthage / Carthage,https://github.com/Carthage/Carthage,"A simple, decentralized dependency manager for Cocoa",1,2017-12-31
lhc70000 / iina,https://github.com/lhc70000/iina,The modern video player for macOS.,1,2017-12-31
vapor / vapor,https://github.com/vapor/vapor,💧 A server-side Swift web framework.,1,2017-12-31
T-Pham / CoinPriceBar,https://github.com/T-Pham/CoinPriceBar,Cryptocurrency prices on MacBook Touch Bar,1,2017-12-31
SoySauceLab / CollectionKit,https://github.com/SoySauceLab/CollectionKit,A modern Swift framework for building reusable data-driven collection components.,1,2017-12-31
Ramotion / fluid-slider,https://github.com/Ramotion/fluid-slider,💧 A slider widget with a popup bubble displaying the precise value selected. Made by @Ramotion,1,2017-12-31
efremidze / Shiny,https://github.com/efremidze/Shiny,Iridescent Effect View (inspired by Apple Pay Cash) ✨,1,2017-12-31
overtake / TelegramSwift,https://github.com/overtake/TelegramSwift,Source code of Telegram for macos on Swift 4.0,1,2017-12-31
xmartlabs / Eureka,https://github.com/xmartlabs/Eureka,Elegant iOS form builder in Swift,1,2017-12-31
airbnb / Lona,https://github.com/airbnb/Lona,"A tool for defining design systems and using them to generate cross-platform UI code, Sketch files, images, and other artifacts.",1,2017-12-31
dkhamsing / open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,📱 Collaborative List of Open-Source iOS Apps,1,2017-12-31
ReactiveX / RxSwift,https://github.com/ReactiveX/RxSwift,Reactive Programming in Swift,1,2017-12-31
patchthecode / JTAppleCalendar,https://github.com/patchthecode/JTAppleCalendar,The Unofficial Apple iOS Swift Calendar View. iOS calendar Library. iOS calendar Control. 100% Customizable,1,2017-12-31
quicktype / quicktype-xcode,https://github.com/quicktype/quicktype-xcode,"Xcode extension to paste JSON as Swift, Obj-C++, Java and more",1,2017-12-31
vsouza / awesome-ios,https://github.com/vsouza/awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",1,2017-12-31
raywenderlich / swift-algorithm-club,https://github.com/raywenderlich/swift-algorithm-club,"Algorithms and data structures in Swift, with explanations!",1,2017-12-31
