Name,URL,Description,Count,Last Date
agalwood / Motrix,https://github.com/agalwood/Motrix,A full-featured download manger.,1,2018-12-31
BrainJS / brain.js,https://github.com/BrainJS/brain.js,🤖,1,2018-12-31
matthaywardwebdesign / node-security,https://github.com/matthaywardwebdesign/node-security,🔑,1,2018-12-31
swc-project / swc,https://github.com/swc-project/swc,Super-fast alternative for babel written in rust,1,2018-12-31
i0natan / nodebestpractices,https://github.com/i0natan/nodebestpractices,The largest Node.JS best practices list (November 2018),1,2018-12-31
vuejs / vue,https://github.com/vuejs/vue,🖖,1,2018-12-31
gaearon / overreacted.io,https://github.com/gaearon/overreacted.io,Personal blog by Dan Abramov.,1,2018-12-31
facebook / react,https://github.com/facebook/react,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",1,2018-12-31
trekhleb / javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝,1,2018-12-31
xripcsu / rxjs-watcher,https://github.com/xripcsu/rxjs-watcher,,1,2018-12-31
poowf / otter,https://github.com/poowf/otter,A relatively automatic CRUD backend administration panel,1,2018-12-31
react-cosmos / react-cosmos,https://github.com/react-cosmos/react-cosmos,Dev tool for creating reusable React components,1,2018-12-31
30-seconds / 30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,Curated collection of useful JavaScript snippets that you can understand in 30 seconds or less.,1,2018-12-31
e-oj / Magic-Grid,https://github.com/e-oj/Magic-Grid,"A simple, lightweight Javascript library for dynamic grid layouts.",1,2018-12-31
leonardomso / 33-js-concepts,https://github.com/leonardomso/33-js-concepts,📜,1,2018-12-31
iamkun / dayjs,https://github.com/iamkun/dayjs,⏰,1,2018-12-31
nodejs / node,https://github.com/nodejs/node,Node.js JavaScript runtime,1,2018-12-31
facebook / create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,1,2018-12-31
zeit / next.js,https://github.com/zeit/next.js,The React Framework,1,2018-12-31
GoogleChrome / puppeteer,https://github.com/GoogleChrome/puppeteer,Headless Chrome Node API,1,2018-12-31
GoogleChromeLabs / quicklink,https://github.com/GoogleChromeLabs/quicklink,⚡️,1,2018-12-31
gatsbyjs / gatsby,https://github.com/gatsbyjs/gatsby,"Build blazing fast, modern apps and websites with React",1,2018-12-31
airbnb / javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,1,2018-12-31
klaussinani / tusk,https://github.com/klaussinani/tusk,🐘,1,2018-12-31
