Name,URL,Description,Count,Last Date
fanux / sealos,https://github.com/fanux/sealos,一条命令离线安装高可用 Kubernetes，3min 装完，500M，100年证书，版本不要太全，生产环境稳如老狗,1,2021-12-31
teivah / 100-go-mistakes,https://github.com/teivah/100-go-mistakes,Source code of the 100 Go Mistakes book,1,2021-12-31
solana-labs / token-list,https://github.com/solana-labs/token-list,The community maintained Solana token registry,1,2021-12-31
cosmtrek / air,https://github.com/cosmtrek/air,☁️,1,2021-12-31
robfig / cron,https://github.com/robfig/cron,a cron library for go,1,2021-12-31
kubernetes-sigs / kind,https://github.com/kubernetes-sigs/kind,Kubernetes IN Docker - local clusters for testing Kubernetes,1,2021-12-31
binwiederhier / ntfy,https://github.com/binwiederhier/ntfy,Send push notifications to your phone or desktop using PUT/POST,1,2021-12-31
mvdan / gofumpt,https://github.com/mvdan/gofumpt,A stricter gofmt,1,2021-12-31
uptrace / uptrace,https://github.com/uptrace/uptrace,Distributed tracing using OpenTelemetry and ClickHouse,1,2021-12-31
hajimehoshi / ebiten,https://github.com/hajimehoshi/ebiten,A dead simple 2D game library for Go,1,2021-12-31
juanfont / headscale,https://github.com/juanfont/headscale,"An open source, self-hosted implementation of the Tailscale control server",1,2021-12-31
derailed / k9s,https://github.com/derailed/k9s,🐶,1,2021-12-31
google / gvisor,https://github.com/google/gvisor,Application Kernel for Containers,1,2021-12-31
photoprism / photoprism,https://github.com/photoprism/photoprism,Photos App powered by Go and Google TensorFlow,1,2021-12-31
bitnami-labs / sealed-secrets,https://github.com/bitnami-labs/sealed-secrets,A Kubernetes controller and tool for one-way encrypted Secrets,1,2021-12-31
xiecat / fofax,https://github.com/xiecat/fofax,"fofaX is a command line query tool based on the API of https://fofa.so/, simple is the best!",1,2021-12-31
asim / go-micro,https://github.com/asim/go-micro,A framework for distributed systems development,1,2021-12-31
go-kit / kit,https://github.com/go-kit/kit,A standard library for microservices.,1,2021-12-31
juicedata / juicefs,https://github.com/juicedata/juicefs,JuiceFS is a distributed POSIX file system built on top of Redis and S3.,1,2021-12-31
operator-framework / operator-sdk,https://github.com/operator-framework/operator-sdk,"SDK for building Kubernetes applications. Provides high level APIs, useful abstractions, and project scaffolding.",1,2021-12-31
hyperledger / fabric,https://github.com/hyperledger/fabric,Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. Its modular and versatile design satisfies a broad range of industry use cases. It offers a unique approach to consensus that enables performance at scale while preserving privacy.,1,2021-12-31
cookieY / Yearning,https://github.com/cookieY/Yearning,🐳,1,2021-12-31
containers / podman,https://github.com/containers/podman,Podman: A tool for managing OCI containers and pods.,1,2021-12-31
satori / go.uuid,https://github.com/satori/go.uuid,UUID package for Go,1,2021-12-31
evanw / esbuild,https://github.com/evanw/esbuild,An extremely fast JavaScript and CSS bundler and minifier,1,2021-12-31
fanux / sealos,https://github.com/fanux/sealos,一条命令离线安装高可用 Kubernetes，3min 装完，500M，100年证书，版本不要太全，生产环境稳如老狗,1,2021-12-30
cosmtrek / air,https://github.com/cosmtrek/air,☁️,1,2021-12-30
