Name,URL,Description,Language,Count,Last Date
QwenLM / Qwen,https://github.com/QwenLM/Qwen,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,python,5,2025-02-03
paperless-ngx / paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents",python,3,2025-02-04
QwenLM / Qwen-Agent,https://github.com/QwenLM/Qwen-Agent,"Agent framework and applications built upon Qwen>=2.0, featuring Function Calling, Code Interpreter, RAG, and Chrome extension.",python,4,2025-02-03
QwenLM / Qwen2.5-Coder,https://github.com/QwenLM/Qwen2.5-Coder,"Qwen2.5-Coder is the code version of Qwen2.5, the large language model series developed by Qwen team, Alibaba Cloud.",python,3,2025-02-03
oobabooga / text-generation-webui,https://github.com/oobabooga/text-generation-webui,A Gradio web UI for Large Language Models with support for multiple inference backends.,python,2,2025-02-01
google / meridian,https://github.com/google/meridian,Meridian is an MMM framework that enables advertisers to set up and run their own in-house models.,python,2,2025-02-02
langflow-ai / langflow,https://github.com/langflow-ai/langflow,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.",python,3,2025-02-28
QwenLM / Qwen2.5-Math,https://github.com/QwenLM/Qwen2.5-Math,A series of math-specific large language models of our Qwen2 series.,python,1,2025-02-01
Zipstack / unstract,https://github.com/Zipstack/unstract,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents,python,9,2025-03-01
polarsource / polar,https://github.com/polarsource/polar,An open source Merchant of Record. Sell SaaS and digital products in minutes.,python,3,2025-02-02
sqlfluff / sqlfluff,https://github.com/sqlfluff/sqlfluff,A modular SQL linter and auto-formatter with support for multiple dialects and templated code.,python,3,2025-02-01
deepseek-ai / DreamCraft3D,https://github.com/deepseek-ai/DreamCraft3D,[ICLR 2024] Official implementation of DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior,python,4,2025-02-01
huggingface / accelerate,https://github.com/huggingface/accelerate,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support",python,2,2025-02-02
huggingface / transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",python,6,2025-02-16
vllm-project / vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,python,14,2025-03-08
prowler-cloud / prowler,https://github.com/prowler-cloud/prowler,"Prowler is an Open Cloud Security tool for AWS, Azure, GCP and Kubernetes. It helps for continuos monitoring, security assessments and audits, incident response, compliance, hardening and forensics readiness. Includes CIS, NIST 800, NIST CSF, CISA, FedRAMP, PCI-DSS, GDPR, HIPAA, FFIEC, SOC2, GXP, Well-Architected Security, ENS and more.",python,2,2025-02-01
PostHog / posthog,https://github.com/PostHog/posthog,"🦔 PostHog provides open-source web & product analytics, session recording, feature flagging and A/B testing that you can self-host. Get started - free.",python,2,2025-02-02
unslothai / unsloth,https://github.com/unslothai/unsloth,"Finetune Llama 3.3, Mistral, Phi-4, Qwen 2.5 & Gemma LLMs 2-5x faster with 70% less memory",python,11,2025-02-13
volcengine / verl,https://github.com/volcengine/verl,veRL: Volcano Engine Reinforcement Learning for LLM,python,4,2025-03-05
open-webui / open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",javascript,16,2025-03-09
facebook / react,https://github.com/facebook/react,The library for web and native user interfaces.,javascript,21,2025-03-04
twbs / bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",javascript,19,2025-03-07
cypress-io / cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",javascript,15,2025-02-17
louislam / uptime-kuma,https://github.com/louislam/uptime-kuma,A fancy self-hosted monitoring tool,javascript,14,2025-02-22
ckeditor / ckeditor5,https://github.com/ckeditor/ckeditor5,"Powerful rich text editor framework with a modular architecture, modern integrations, and features like collaborative editing.",javascript,12,2025-03-07
moment / moment,https://github.com/moment/moment,"Parse, validate, manipulate, and display dates in javascript.",javascript,2,2025-02-01
mrdoob / three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,javascript,12,2025-03-05
nodejs / node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,javascript,16,2025-02-17
carbon-design-system / carbon,https://github.com/carbon-design-system/carbon,A design system built by IBM,javascript,6,2025-02-28
anuraghazra / github-readme-stats,https://github.com/anuraghazra/github-readme-stats,⚡ Dynamically generated stats for your github readmes,javascript,6,2025-02-25
