Name,URL,Description,Count,Last Date
dagger / dagger,https://github.com/dagger/dagger,An open-source runtime for composable workflows. Great for AI agents and CI/CD.,1,2025-03-09
cloudwego / eino,https://github.com/cloudwego/eino,The ultimate LLM/AI application development framework in Golang.,1,2025-03-09
grpc-ecosystem / grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,gRPC to JSON proxy generator following the gRPC HTTP spec,1,2025-03-09
mark3labs / mcp-go,https://github.com/mark3labs/mcp-go,"A Go implementation of the Model Context Protocol (MCP), enabling seamless integration between LLM applications and external data sources and tools.",1,2025-03-09
netbirdio / netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",1,2025-03-09
hashicorp / terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",1,2025-03-09
weaviate / weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database .",1,2025-03-09
fleetdm / fleet,https://github.com/fleetdm/fleet,"Open-source platform for IT, security, and infrastructure teams. (Linux, macOS, Chrome, Windows, cloud, data center)",1,2025-03-09
tailscale / tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",1,2025-03-09
usual2970 / certimate,https://github.com/usual2970/certimate,"开源的SSL证书管理工具，可以帮助你自动申请、部署SSL证书，并在证书即将过期时自动续期。An open-source SSL certificate management tool that helps you automatically apply for and deploy SSL certificates, as well as automatically renew them when they are about to expire.",1,2025-03-09
googleapis / genai-toolbox,https://github.com/googleapis/genai-toolbox,Gen AI Toolbox for Databases is an open source server that makes it easier to build Gen AI tools for interacting with databases.,1,2025-03-09
projectdiscovery / subfinder,https://github.com/projectdiscovery/subfinder,Fast passive subdomain enumeration tool.,1,2025-03-09
influxdata / telegraf,https://github.com/influxdata/telegraf,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",1,2025-03-09
moby / moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,1,2025-03-09
uber-go / mock,https://github.com/uber-go/mock,GoMock is a mocking framework for the Go programming language.,1,2025-03-09
coder / coder,https://github.com/coder/coder,Provision remote development environments via Terraform,1,2025-03-09
gruntwork-io / terragrunt,https://github.com/gruntwork-io/terragrunt,Terragrunt is a flexible orchestration tool that allows Infrastructure as Code written in OpenTofu/Terraform to scale.,1,2025-03-09
danielmiessler / fabric,https://github.com/danielmiessler/fabric,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,1,2025-03-09
evrone / go-clean-template,https://github.com/evrone/go-clean-template,Clean Architecture template for Golang services,1,2025-03-09
henrygd / beszel,https://github.com/henrygd/beszel,"Lightweight server monitoring hub with historical data, docker stats, and alerts.",1,2025-03-09
go-playground / validator,https://github.com/go-playground/validator,"💯Go Struct and Field validation, including Cross Field, Cross Struct, Map, Slice and Array diving",1,2025-03-09
aquasecurity / kube-bench,https://github.com/aquasecurity/kube-bench,Checks whether Kubernetes is deployed according to security best practices as defined in the CIS Kubernetes Benchmark,1,2025-03-09
ollama / ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 2, and other large language models.",1,2025-03-09
google / pprof,https://github.com/google/pprof,pprof is a tool for visualization and analysis of profiling data,1,2025-03-09
lightningnetwork / lnd,https://github.com/lightningnetwork/lnd,Lightning Network Daemon ⚡️,1,2025-03-09
grpc-ecosystem / grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,gRPC to JSON proxy generator following the gRPC HTTP spec,1,2025-03-08
cloudwego / eino,https://github.com/cloudwego/eino,The ultimate LLM/AI application development framework in Golang.,1,2025-03-08
moby / moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,1,2025-03-08
hashicorp / terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",1,2025-03-08
spf13 / cobra,https://github.com/spf13/cobra,A Commander for modern Go CLI interactions,1,2025-03-08
stretchr / testify,https://github.com/stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,1,2025-03-08
samber / lo,https://github.com/samber/lo,"💥 A Lodash-style Go library based on Go 1.18+ Generics (map, filter, contains, find...)",1,2025-03-08
kubernetes-sigs / external-dns,https://github.com/kubernetes-sigs/external-dns,"Configure external DNS servers (AWS Route53, Google CloudDNS and others) for Kubernetes Ingresses and Services",1,2025-03-08
milvus-io / milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",1,2025-03-08
cert-manager / cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,1,2025-03-08
influxdata / telegraf,https://github.com/influxdata/telegraf,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",1,2025-03-08
grafana / k6,https://github.com/grafana/k6,"A modern load testing tool, using Go and JavaScript - https://k6.io",1,2025-03-08
kubernetes-sigs / kubebuilder,https://github.com/kubernetes-sigs/kubebuilder,Kubebuilder - SDK for building Kubernetes APIs using CRDs,1,2025-03-08
glanceapp / glance,https://github.com/glanceapp/glance,A self-hosted dashboard that puts all your feeds in one place,1,2025-03-08
grafana / loki,https://github.com/grafana/loki,"Like Prometheus, but for logs.",1,2025-03-08
jackc / pgx,https://github.com/jackc/pgx,PostgreSQL driver and toolkit for Go,1,2025-03-08
ollama / ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 2, and other large language models.",1,2025-03-08
mostlygeek / llama-swap,https://github.com/mostlygeek/llama-swap,transparent proxy server for llama.cpp's server to provide automatic model swapping,1,2025-03-08
weaviate / weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database .",1,2025-03-08
kubernetes / ingress-nginx,https://github.com/kubernetes/ingress-nginx,Ingress NGINX Controller for Kubernetes,1,2025-03-08
mjl- / mox,https://github.com/mjl-/mox,modern full-featured open source secure mail server for low-maintenance self-hosted email,1,2025-03-08
jaegertracing / jaeger,https://github.com/jaegertracing/jaeger,"CNCF Jaeger, a Distributed Tracing Platform",1,2025-03-08
fleetdm / fleet,https://github.com/fleetdm/fleet,"Open-source platform for IT, security, and infrastructure teams. (Linux, macOS, Chrome, Windows, cloud, data center)",1,2025-03-08
hashicorp / terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",1,2025-03-07
grpc-ecosystem / grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,gRPC to JSON proxy generator following the gRPC HTTP spec,1,2025-03-07
ethereum-optimism / optimism,https://github.com/ethereum-optimism/optimism,"Optimism is Ethereum, scaled.",1,2025-03-07
stretchr / testify,https://github.com/stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,1,2025-03-07
kubernetes / dashboard,https://github.com/kubernetes/dashboard,General-purpose web UI for Kubernetes clusters,1,2025-03-07
usememos / memos,https://github.com/usememos/memos,"An open-source, lightweight note-taking solution. The pain-less way to create your meaningful notes. Your Notes, Your Way.",1,2025-03-07
dapr / dapr,https://github.com/dapr/dapr,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",1,2025-03-07
zeromicro / go-zero,https://github.com/zeromicro/go-zero,A cloud-native Go microservices framework with cli tool for productivity.,1,2025-03-07
cloudwego / eino,https://github.com/cloudwego/eino,The ultimate LLM/AI application development framework in Golang.,1,2025-03-07
moby / moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,1,2025-03-07
casibase / casibase,https://github.com/casibase/casibase,"AI Cloud OS: ⚡️Open-source RAG knowledge database with admin UI, user management and Single-Sign-On⚡️, supports ChatGPT, Claude, DeepSeek R1, Llama, Gemini, HuggingFace, etc., chat bot demo: https://ai.casibase.com, admin UI demo: https://ai-admin.casibase.com",1,2025-03-07
kubernetes-sigs / external-dns,https://github.com/kubernetes-sigs/external-dns,"Configure external DNS servers (AWS Route53, Google CloudDNS and others) for Kubernetes Ingresses and Services",1,2025-03-07
minio / minio,https://github.com/minio/minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",1,2025-03-07
projectcalico / calico,https://github.com/projectcalico/calico,Cloud native networking and network security,1,2025-03-07
spf13 / cobra,https://github.com/spf13/cobra,A Commander for modern Go CLI interactions,1,2025-03-07
swaggo / swag,https://github.com/swaggo/swag,Automatically generate RESTful API documentation with Swagger 2.0 for Go.,1,2025-03-07
aquasecurity / trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",1,2025-03-07
openbao / openbao,https://github.com/openbao/openbao,"OpenBao exists to provide a software solution to manage, store, and distribute sensitive data including secrets, certificates, and keys.",1,2025-03-07
GoogleCloudPlatform / terraformer,https://github.com/GoogleCloudPlatform/terraformer,CLI tool to generate terraform files from existing infrastructure (reverse Terraform). Infrastructure to Code,1,2025-03-07
go-chi / chi,https://github.com/go-chi/chi,"lightweight, idiomatic and composable router for building Go HTTP services",1,2025-03-07
docker / cli,https://github.com/docker/cli,The Docker CLI,1,2025-03-07
actions / actions-runner-controller,https://github.com/actions/actions-runner-controller,Kubernetes controller for GitHub Actions self-hosted runners,1,2025-03-07
cert-manager / cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,1,2025-03-07
hashicorp / terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",1,2025-03-05
eksctl-io / eksctl,https://github.com/eksctl-io/eksctl,The official CLI for Amazon EKS,1,2025-03-05
kubernetes / dashboard,https://github.com/kubernetes/dashboard,General-purpose web UI for Kubernetes clusters,1,2025-03-05
labstack / echo,https://github.com/labstack/echo,"High performance, minimalist Go web framework",1,2025-03-05
open-telemetry / opentelemetry-collector-contrib,https://github.com/open-telemetry/opentelemetry-collector-contrib,Contrib repository for the OpenTelemetry Collector,1,2025-03-05
cert-manager / cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,1,2025-03-05
evcc-io / evcc,https://github.com/evcc-io/evcc,Solar Charging ☀️🚘,1,2025-03-05
envoyproxy / gateway,https://github.com/envoyproxy/gateway,Manages Envoy Proxy as a Standalone or Kubernetes-based Application Gateway,1,2025-03-05
dapr / dapr,https://github.com/dapr/dapr,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",1,2025-03-05
grpc-ecosystem / grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,gRPC to JSON proxy generator following the gRPC HTTP spec,1,2025-03-05
go-gitea / gitea,https://github.com/go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",1,2025-03-05
gin-gonic / gin,https://github.com/gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",1,2025-03-05
open-telemetry / opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,OpenTelemetry Collector,1,2025-03-05
