Name,URL,Description,Count,Last Date
OpenAPITools / openapi-generator,https://github.com/OpenAPITools/openapi-generator,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",1,2025-03-09
AutoMQ / automq,https://github.com/AutoMQ/automq,AutoMQ is a cloud-native alternative to Kafka by decoupling durability to S3 and EBS. 10x Cost-Effective. No Cross-AZ Traffic Cost. Autoscale in seconds. Single-digit ms latency.,1,2025-03-09
continew-org / continew-admin,https://github.com/continew-org/continew-admin,🔥Almost最佳后端规范🔥持续迭代优化的前后端分离中后台管理系统框架，开箱即用，持续提供舒适的开发体验。当前采用技术栈：Spring Boot3（Java17）、Vue3 & Arco Design、TS、Vite5 、Sa-Token、MyBatis Plus、Redisson、JetCache、Jackson、Spring Doc、JustAuth、Easy Excel、Crane4j、Liquibase、Hutool 等。,1,2025-03-09
spring-projects / spring-ai-examples,https://github.com/spring-projects/spring-ai-examples,,1,2025-03-09
SeleniumHQ / selenium,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,1,2025-03-09
keycloak / keycloak,https://github.com/keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services,1,2025-03-09
karma9874 / AndroRAT,https://github.com/karma9874/AndroRAT,A Simple android remote administration tool using sockets. It uses java on the client side and python on the server side,1,2025-03-09
apache / camel,https://github.com/apache/camel,Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.,1,2025-03-09
DependencyTrack / dependency-track,https://github.com/DependencyTrack/dependency-track,Dependency-Track is an intelligent Component Analysis platform that allows organizations to identify and reduce risk in the software supply chain.,1,2025-03-09
vespa-engine / vespa,https://github.com/vespa-engine/vespa,"AI + Data, online. https://vespa.ai",1,2025-03-09
microsoft / typespec,https://github.com/microsoft/typespec,,1,2025-03-09
flowable / flowable-engine,https://github.com/flowable/flowable-engine,"A compact and highly efficient workflow and Business Process Management (BPM) platform for developers, system admins and business users.",1,2025-03-09
apache / dolphinscheduler,https://github.com/apache/dolphinscheduler,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,1,2025-03-09
deeplearning4j / deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,"Suite of tools for deploying and training deep learning models using the JVM. Highlights include model import for keras, tensorflow, and onnx/pytorch, a modular and tiny c++ library for running math code and a java based math library on top of the core c++ library. Also includes samediff: a pytorch/tensorflow like library for running deep learn...",1,2025-03-09
TheAlgorithms / Java,https://github.com/TheAlgorithms/Java,All Algorithms implemented in Java,1,2025-03-09
alibaba / nacos,https://github.com/alibaba/nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",1,2025-03-09
dataease / dataease,https://github.com/dataease/dataease,🔥 人人可用的开源 BI 工具，数据可视化神器。,1,2025-03-09
apache / iceberg,https://github.com/apache/iceberg,Apache Iceberg,1,2025-03-09
questdb / questdb,https://github.com/questdb/questdb,"QuestDB is a high performance, open-source, time-series database",1,2025-03-09
antlr / antlr4,https://github.com/antlr/antlr4,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.",1,2025-03-09
spring-projects / spring-security,https://github.com/spring-projects/spring-security,Spring Security,1,2025-03-09
Azure / azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java.,1,2025-03-09
Tencent / APIJSON,https://github.com/Tencent/APIJSON,"🏆 实时 零代码、全功能、强安全 ORM 库 🚀 后端接口和文档零代码，前端(客户端) 定制返回 JSON 的数据和结构 🏆 Real-Time coding-free, powerful and secure ORM 🚀 providing APIs and Docs without coding by Backend, and the returned JSON of API can be customized by Frontend(Client) users",1,2025-03-08
ReactiveX / RxJava,https://github.com/ReactiveX/RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,1,2025-03-08
AutoMQ / automq,https://github.com/AutoMQ/automq,AutoMQ is a cloud-native alternative to Kafka by decoupling durability to S3 and EBS. 10x Cost-Effective. No Cross-AZ Traffic Cost. Autoscale in seconds. Single-digit ms latency.,1,2025-03-08
trinodb / trino,https://github.com/trinodb/trino,"Official repository of Trino, the distributed SQL query engine for big data, formerly known as PrestoSQL (https://trino.io)",1,2025-03-08
apache / fineract,https://github.com/apache/fineract,Apache Fineract,1,2025-03-08
keycloak / keycloak,https://github.com/keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services,1,2025-03-08
iluwatar / java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,1,2025-03-08
apache / flink,https://github.com/apache/flink,Apache Flink,1,2025-03-08
apache / cassandra,https://github.com/apache/cassandra,Apache Cassandra®,1,2025-03-08
dataease / dataease,https://github.com/dataease/dataease,🔥 人人可用的开源 BI 工具，数据可视化神器。,1,2025-03-08
Team-xManager / xManager,https://github.com/Team-xManager/xManager,"Ad-Free, New Features & Freedom",1,2025-03-08
YunaiV / yudao-cloud,https://github.com/YunaiV/yudao-cloud,ruoyi-vue-pro 全新 Cloud 版本，优化重构所有功能。基于 Spring Cloud Alibaba + MyBatis Plus + Vue & Element 实现的后台管理系统 + 用户小程序，支持 RBAC 动态权限、多租户、数据权限、工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,1,2025-03-08
TheAlgorithms / Java,https://github.com/TheAlgorithms/Java,All Algorithms implemented in Java,1,2025-03-08
GoogleContainerTools / jib,https://github.com/GoogleContainerTools/jib,🏗 Build container images for your Java applications.,1,2025-03-08
elastic / elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",1,2025-03-08
Azure / azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java.,1,2025-03-08
dependency-check / DependencyCheck,https://github.com/dependency-check/DependencyCheck,OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.,1,2025-03-08
antlr / antlr4,https://github.com/antlr/antlr4,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.",1,2025-03-08
apache / iceberg,https://github.com/apache/iceberg,Apache Iceberg,1,2025-03-08
NationalSecurityAgency / ghidra,https://github.com/NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,1,2025-03-08
apache / hbase,https://github.com/apache/hbase,Apache HBase,1,2025-03-08
keycloak / keycloak,https://github.com/keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services,1,2025-03-07
elastic / elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",1,2025-03-07
apache / gravitino,https://github.com/apache/gravitino,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.",1,2025-03-07
SeleniumHQ / selenium,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,1,2025-03-07
tencentmusic / supersonic,https://github.com/tencentmusic/supersonic,SuperSonic is the next-generation AI+BI platform that unifies Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.,1,2025-03-07
