Name,URL,Description,Count,Last Date
open-webui / open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",1,2025-03-09
HeyPuter / puter,https://github.com/HeyPuter/puter,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable.",1,2025-03-09
UseInterstellar / Interstellar,https://github.com/UseInterstellar/Interstellar,One of the most popular modern web proxies with blazing fast speeds and a variety of games.,1,2025-03-09
ToolJet / ToolJet,https://github.com/ToolJet/ToolJet,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",1,2025-03-09
bigbluebutton / bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,Complete open source web conferencing system.,1,2025-03-09
browserbase / mcp-server-browserbase,https://github.com/browserbase/mcp-server-browserbase,,1,2025-03-09
microsoft / monaco-editor,https://github.com/microsoft/monaco-editor,A browser based code editor,1,2025-03-09
sveltejs / svelte,https://github.com/sveltejs/svelte,web development for the rest of us,1,2025-03-09
eslint / eslint,https://github.com/eslint/eslint,Find and fix problems in your JavaScript code.,1,2025-03-09
projectdiscovery / nuclei-templates,https://github.com/projectdiscovery/nuclei-templates,Community curated list of templates for the nuclei engine to find security vulnerabilities.,1,2025-03-09
google / zx,https://github.com/google/zx,A tool for writing better scripts,1,2025-03-09
wangrongding / wechat-bot,https://github.com/wangrongding/wechat-bot,🤖一个基于 WeChaty 结合 DeepSeek / ChatGPT / Kimi / 讯飞等Ai服务实现的微信机器人 ，可以用来帮助你自动回复微信消息，或者管理微信群/好友，检测僵尸粉等...,1,2025-03-09
docmirror / dev-sidecar,https://github.com/docmirror/dev-sidecar,开发者边车，github打不开，github加速，git clone加速，git release下载加速，stackoverflow加速,1,2025-03-09
xszyou / Fay,https://github.com/xszyou/Fay,fay是一个帮助数字人（2.5d、3d、移动、pc、网页）或大语言模型（openai兼容、deepseek）连通业务系统的agent框架。,1,2025-03-09
vercel / next.js,https://github.com/vercel/next.js,The React Framework,1,2025-03-09
4ian / GDevelop,https://github.com/4ian/GDevelop,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",1,2025-03-09
