Name,URL,Description,Count,Last Date
virattt / ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,1,2025-03-09
geekan / MetaGPT,https://github.com/geekan/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",1,2025-03-09
Significant-Gravitas / AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",1,2025-03-09
All-Hands-AI / OpenHands,https://github.com/All-Hands-AI/OpenHands,"🙌 OpenHands: Code Less, Make More",1,2025-03-09
browser-use / browser-use,https://github.com/browser-use/browser-use,Make websites accessible for AI agents,1,2025-03-09
camel-ai / camel,https://github.com/camel-ai/camel,🐫 CAMEL: Finding the Scaling Law of Agents. The first and the best multi-agent framework. https://www.camel-ai.org,1,2025-03-09
VikParuchuri / marker,https://github.com/VikParuchuri/marker,Convert PDF to markdown + JSON quickly with high accuracy,1,2025-03-09
agno-agi / agno,https://github.com/agno-agi/agno,"Build Multimodal AI Agents with memory, knowledge and tools. Simple, fast and model-agnostic.",1,2025-03-09
Tencent / HunyuanVideo,https://github.com/Tencent/HunyuanVideo,HunyuanVideo: A Systematic Framework For Large Video Generation Model,1,2025-03-09
Plachtaa / seed-vc,https://github.com/Plachtaa/seed-vc,"zero-shot voice conversion & singing voice conversion, with real-time support",1,2025-03-09
Azure / azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python.,1,2025-03-09
open-compass / opencompass,https://github.com/open-compass/opencompass,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",1,2025-03-09
ErikBjare / gptme,https://github.com/ErikBjare/gptme,"Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web, vision.",1,2025-03-09
mingrammer / diagrams,https://github.com/mingrammer/diagrams,🎨 Diagram as Code for prototyping cloud system architectures,1,2025-03-09
Lightricks / ComfyUI-LTXVideo,https://github.com/Lightricks/ComfyUI-LTXVideo,LTX-Video Support for ComfyUI,1,2025-03-09
lukas-blecher / LaTeX-OCR,https://github.com/lukas-blecher/LaTeX-OCR,pix2tex: Using a ViT to convert images of equations into LaTeX code.,1,2025-03-09
virattt / ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,1,2025-03-08
ComposioHQ / composio,https://github.com/ComposioHQ/composio,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,1,2025-03-08
stanford-oval / storm,https://github.com/stanford-oval/storm,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,1,2025-03-08
vllm-project / vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,1,2025-03-08
freqtrade / freqtrade,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot",1,2025-03-08
sgl-project / sglang,https://github.com/sgl-project/sglang,SGLang is a fast serving framework for large language models and vision language models.,1,2025-03-08
